Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Attendance,Audience
Urban Park Rangers,,06/28/2019 03:00:00 PM,Manhattan,Pool,Sheltering Arms,Turtle Time,Agency Produced Event,Nature,Cool Pools,25,General Public
Recreation,,02/15/2019 07:00:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Paint Social,Agency Produced Event,Arts/Culture,,18,Adults;#Young Adult
Urban Park Rangers,,06/28/2019 02:30:00 PM,Queens,Pool,Liberty,Connect Four,Agency Produced Event,Nature,Cool Pools,30,General Public
Recreation,,06/26/2019 08:00:00 PM,Bronx,Park,Henry Hudson Park,Lego Movie: The Second Part,Community Based Event,Mobile Unit,M.U.T.S,15,General Public
Recreation,Councilman Cohen,06/19/2018 08:30:00 PM,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,126,General Public
Recreation,,04/20/2019 11:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Bunny Wonderland,Local Event,Family Festival,,175,Children;#Tot;#Teens;#Adults;#Young Adult
Urban Park Rangers,,06/28/2019 02:30:00 PM,Bronx,Pool,Mapes,,Agency Produced Event,Nature,Cool Pools,60,General Public
Urban Park Rangers,,06/28/2019 02:30:00 PM,Staten Island,Pool,Tottenville,Leapin' Frogs,Agency Produced Event,Nature,Cool Pools,31,General Public
Urban Park Rangers,,06/29/2019 11:00:00 AM,Queens,Pool,Fisher Pool,Gone Fishin',Agency Produced Event,Nature,Cool Pools,55,General Public
Urban Park Rangers,,06/28/2019 10:00:00 AM,Manhattan,Pool,Wagner,Buggin' Out,Agency Produced Event,Nature,Cool Pools,38,General Public
Recreation,,03/15/2019 07:00:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Paint Social,Agency Produced Event,Arts/Culture,,22,Adults
Urban Park Rangers,,06/29/2019 10:30:00 AM,Bronx,Pool,Claremont,Animal Ambassador,Agency Produced Event,Nature,Cool Pools,28,General Public
Urban Park Rangers,,06/29/2019 10:30:00 AM,Manhattan,Pool,Dry Dock,Tree Mystery Box,Agency Produced Event,Nature,Cool Pools,15,General Public
Urban Park Rangers,,06/28/2019 10:30:00 AM,Brooklyn,Pool,Douglas and Degraw,Cool Pools,Agency Produced Event,Nature,Cool Pools,120,General Public
Urban Park Rangers,,06/29/2019 10:30:00 AM,Brooklyn,Pool,Douglas and Degraw,Cool Pools,Agency Produced Event,Nature,Cool Pools,85,General Public
